,compound,create_date,negative,neutral,news_media,positive,tweets_ago
64,0.0,2017-12-01 23:06:01+00:00,0.0,1.0,NYT,0.0,-64
65,0.7269,2017-12-01 22:55:02+00:00,0.0,0.643,NYT,0.357,-65
66,0.296,2017-12-01 22:54:01+00:00,0.0,0.732,NYT,0.268,-66
67,0.0,2017-12-01 22:53:02+00:00,0.0,1.0,NYT,0.0,-67
68,0.4019,2017-12-01 22:52:01+00:00,0.0,0.748,NYT,0.252,-68
69,0.0,2017-12-01 22:37:01+00:00,0.0,1.0,NYT,0.0,-69
70,-0.34,2017-12-01 22:30:01+00:00,0.231,0.769,NYT,0.0,-70
71,0.0,2017-12-01 22:27:01+00:00,0.0,1.0,NYT,0.0,-71
72,-0.0772,2017-12-01 22:26:01+00:00,0.204,0.619,NYT,0.177,-72
73,-0.1531,2017-12-01 22:25:01+00:00,0.246,0.556,NYT,0.198,-73
74,0.0,2017-12-01 22:24:01+00:00,0.0,1.0,NYT,0.0,-74
75,-0.5106,2017-12-01 22:23:01+00:00,0.18,0.82,NYT,0.0,-75
76,0.7845,2017-12-01 22:19:01+00:00,0.0,0.42,NYT,0.58,-76
77,-0.6908,2017-12-01 22:18:02+00:00,0.343,0.657,NYT,0.0,-77
78,0.1027,2017-12-01 22:17:02+00:00,0.204,0.563,NYT,0.232,-78
79,0.0,2017-12-01 22:16:01+00:00,0.0,1.0,NYT,0.0,-79
80,-0.3612,2017-12-01 22:15:01+00:00,0.385,0.615,NYT,0.0,-80
81,0.2023,2017-12-01 22:14:01+00:00,0.0,0.833,NYT,0.167,-81
82,-0.3818,2017-12-01 22:13:01+00:00,0.206,0.794,NYT,0.0,-82
83,0.0,2017-12-01 22:12:01+00:00,0.0,1.0,NYT,0.0,-83
84,-0.4404,2017-12-01 22:11:01+00:00,0.293,0.707,NYT,0.0,-84
85,0.2023,2017-12-01 22:10:01+00:00,0.13,0.685,NYT,0.185,-85
86,-0.3818,2017-12-01 22:09:01+00:00,0.178,0.822,NYT,0.0,-86
87,0.4404,2017-12-01 22:08:01+00:00,0.0,0.674,NYT,0.326,-87
88,0.0,2017-12-01 22:07:01+00:00,0.0,1.0,NYT,0.0,-88
89,0.0,2017-12-01 22:06:01+00:00,0.0,1.0,NYT,0.0,-89
90,-0.4767,2017-12-01 22:05:01+00:00,0.237,0.763,NYT,0.0,-90
91,0.0,2017-12-01 22:04:01+00:00,0.0,1.0,NYT,0.0,-91
92,0.0,2017-12-01 22:03:01+00:00,0.0,1.0,NYT,0.0,-92
93,0.3612,2017-12-01 22:02:01+00:00,0.0,0.815,NYT,0.185,-93
94,0.0,2017-12-01 22:01:01+00:00,0.0,1.0,NYT,0.0,-94
95,0.4588,2017-12-01 22:00:01+00:00,0.0,0.727,NYT,0.273,-95
96,0.0,2017-12-01 21:59:01+00:00,0.0,1.0,NYT,0.0,-96
97,0.0,2017-12-01 21:58:01+00:00,0.0,1.0,NYT,0.0,-97
98,-0.4215,2017-12-01 21:57:01+00:00,0.177,0.823,NYT,0.0,-98
99,-0.7506,2017-12-01 21:56:01+00:00,0.454,0.402,NYT,0.144,-99
0,0.0,2017-12-02 04:30:07+00:00,0.0,1.0,CNN,0.0,0
1,0.4939,2017-12-02 04:00:07+00:00,0.0,0.775,CNN,0.225,-1
2,0.0772,2017-12-02 03:30:22+00:00,0.093,0.802,CNN,0.105,-2
3,0.1779,2017-12-02 03:00:18+00:00,0.0,0.825,CNN,0.175,-3
4,0.0,2017-12-02 02:50:05+00:00,0.0,1.0,CNN,0.0,-4
5,-0.8885,2017-12-02 02:40:06+00:00,0.404,0.596,CNN,0.0,-5
6,0.0,2017-12-02 02:30:06+00:00,0.0,1.0,CNN,0.0,-6
7,-0.6249,2017-12-02 02:20:01+00:00,0.313,0.687,CNN,0.0,-7
8,0.0,2017-12-02 02:10:04+00:00,0.0,1.0,CNN,0.0,-8
9,0.0,2017-12-02 02:00:27+00:00,0.0,1.0,CNN,0.0,-9
10,0.4019,2017-12-02 01:50:04+00:00,0.0,0.816,CNN,0.184,-10
11,0.0,2017-12-02 01:40:03+00:00,0.0,1.0,CNN,0.0,-11
12,0.0,2017-12-02 01:30:07+00:00,0.0,1.0,CNN,0.0,-12
13,0.4019,2017-12-02 01:22:50+00:00,0.0,0.856,CNN,0.144,-13
14,-0.4215,2017-12-02 01:20:10+00:00,0.219,0.781,CNN,0.0,-14
15,0.0,2017-12-02 01:10:11+00:00,0.0,1.0,CNN,0.0,-15
16,0.0,2017-12-02 01:00:02+00:00,0.0,1.0,CNN,0.0,-16
17,0.5859,2017-12-02 00:50:04+00:00,0.094,0.656,CNN,0.25,-17
18,0.0,2017-12-02 00:40:09+00:00,0.0,1.0,CNN,0.0,-18
19,0.0,2017-12-02 00:30:15+00:00,0.0,1.0,CNN,0.0,-19
20,0.0,2017-12-02 00:20:09+00:00,0.0,1.0,CNN,0.0,-20
21,0.0,2017-12-02 00:10:04+00:00,0.0,1.0,CNN,0.0,-21
22,0.4939,2017-12-02 00:03:53+00:00,0.0,0.814,CNN,0.186,-22
23,0.7574,2017-12-02 00:02:03+00:00,0.0,0.706,CNN,0.294,-23
24,-0.6908,2017-12-01 23:50:05+00:00,0.251,0.749,CNN,0.0,-24
25,0.0258,2017-12-01 23:40:05+00:00,0.142,0.66,CNN,0.198,-25
26,0.0,2017-12-01 23:30:03+00:00,0.0,1.0,CNN,0.0,-26
27,0.4939,2017-12-01 23:20:06+00:00,0.0,0.775,CNN,0.225,-27
28,-0.5574,2017-12-01 23:10:07+00:00,0.31,0.69,CNN,0.0,-28
29,-0.34,2017-12-01 23:00:15+00:00,0.211,0.789,CNN,0.0,-29
30,0.6249,2017-12-01 22:50:04+00:00,0.0,0.758,CNN,0.242,-30
31,0.0,2017-12-01 22:40:06+00:00,0.0,1.0,CNN,0.0,-31
32,-0.6486,2017-12-01 22:30:07+00:00,0.209,0.791,CNN,0.0,-32
33,-0.2023,2017-12-01 22:20:08+00:00,0.247,0.604,CNN,0.148,-33
34,0.0772,2017-12-01 22:10:13+00:00,0.093,0.802,CNN,0.105,-34
35,0.0,2017-12-01 22:00:07+00:00,0.0,1.0,CNN,0.0,-35
36,0.7964,2017-12-01 21:45:13+00:00,0.0,0.649,CNN,0.351,-36
37,0.0,2017-12-01 21:32:06+00:00,0.0,1.0,CNN,0.0,-37
38,-0.4728,2017-12-01 21:25:17+00:00,0.118,0.882,CNN,0.0,-38
39,0.0,2017-12-01 21:20:07+00:00,0.0,1.0,CNN,0.0,-39
40,-0.8885,2017-12-01 21:10:07+00:00,0.404,0.596,CNN,0.0,-40
41,-0.2023,2017-12-01 20:59:45+00:00,0.079,0.921,CNN,0.0,-41
42,0.1779,2017-12-01 20:43:58+00:00,0.0,0.825,CNN,0.175,-42
43,0.0,2017-12-01 20:30:08+00:00,0.0,1.0,CNN,0.0,-43
44,0.2732,2017-12-01 20:20:11+00:00,0.0,0.896,CNN,0.104,-44
45,0.8074,2017-12-01 20:10:07+00:00,0.0,0.644,CNN,0.356,-45
46,-0.5859,2017-12-01 20:00:16+00:00,0.256,0.64,CNN,0.104,-46
47,0.0,2017-12-01 19:50:05+00:00,0.0,1.0,CNN,0.0,-47
48,0.765,2017-12-01 19:41:07+00:00,0.0,0.708,CNN,0.292,-48
49,-0.7506,2017-12-01 19:33:43+00:00,0.252,0.748,CNN,0.0,-49
50,-0.5859,2017-12-01 19:21:06+00:00,0.242,0.664,CNN,0.094,-50
51,0.5994,2017-12-01 19:11:32+00:00,0.0,0.776,CNN,0.224,-51
52,0.0,2017-12-01 19:00:17+00:00,0.0,1.0,CNN,0.0,-52
53,0.2023,2017-12-01 18:55:11+00:00,0.0,0.921,CNN,0.079,-53
54,0.0,2017-12-01 18:45:12+00:00,0.0,1.0,CNN,0.0,-54
55,0.3182,2017-12-01 18:34:06+00:00,0.093,0.756,CNN,0.151,-55
56,-0.3818,2017-12-01 18:29:23+00:00,0.126,0.874,CNN,0.0,-56
57,-0.4215,2017-12-01 18:20:23+00:00,0.128,0.872,CNN,0.0,-57
58,0.0,2017-12-01 18:16:05+00:00,0.0,1.0,CNN,0.0,-58
59,0.0,2017-12-01 18:04:04+00:00,0.0,1.0,CNN,0.0,-59
60,0.0,2017-12-01 17:52:04+00:00,0.0,1.0,CNN,0.0,-60
61,0.4019,2017-12-01 17:33:09+00:00,0.0,0.863,CNN,0.137,-61
62,0.0,2017-12-01 17:12:02+00:00,0.0,1.0,CNN,0.0,-62
